Property Address,Property Name,PropertyType,Building Status,Submarket Cluster,Submarket Name,City,State,Zip,County Name,Year Built,Number Of Stories,Year Renovated,Number Of Parking Spaces,Parking Ratio,RBA,Max Building Contiguous Space,Smallest Available Space,Total Available Space (SF),Direct Available Space,Direct Vacant Space,Sublet Available Space,Average Weighted Rent,Percent Leased,Office Space,Building Tax Expenses,Building Operating Expenses,Sublet Services,Direct Services,Leasing Company Name,Leasing Company City State Zip,Leasing Company Phone,Leasing Company Fax,Primary Agent Name,Property Manager Name,Developer Name,Owner Name,Features,Power,Ceiling Ht,Number Of Loading Docks,Drive Ins,Column Spacing,Sprinklers,Number Of Cranes,Construction Material,Rail Lines,Heating,Sewer,Water,Gas,PropertyID,Avg Rent-Direct (Industrial),Avg Rent-Sublet (Industrial),Building Park,Land Area (AC),Latitude,Longitude,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Phone,Recorded Owner Address,Recorded Owner City State Zip,Recorded Owner Contact,Recorded Owner Name,Recorded Owner Phone,Rent Type,Rent/SF/Yr,Sale Company Address,Sale Company City State Zip,Sale Company Contact,Sale Company Fax,Sale Company Name,Sale Company Phone,Sales Company,Sales Contact,Sales Contact Phone,True Owner Address,True Owner City State Zip,True Owner Contact,True Owner Name,True Owner Phone,Zoning,Anchor Tenants,Building Class,Fema Flood Zone,Flood Risk Area,Floodplain Area,For Sale Price,Fund Name,Last Sale Date,Last Sale Price,Leasing Company Address,Leasing Company Contact,Star Rating,Tax Year,Taxes Per SF,Taxes Total,Tenancy,Total Buildings
4294-4336 E 5th Ave,,Industrial,Existing,Northeast,Airport,Columbus,OH,43219-1851,Franklin,1956,2,2003,680,8,1077179,9752,9752,9752,9752,9752,0,14,99.09,,2021 Tax @ $0.43/sf,2021 Tax @ $0.43/sf,,,Avison Young,"Columbus, OH 43215-3506",6145453990,6144577878,Scott Pickett,,,SB360 Capital Partners,"Fenced Lot, Security System",,"35'0""",19,"6/10'0""w x 15'0""h",,Yes,,Steel,,,,,,496353,,,The Columbus Int'l Aircenter,171.47,39.9895489,-82.8872606,4294-4336 E 5th Ave,"Columbus, OH 43219-1851",Ed Arndt,6144458461,,,,,4300 E Fifth Ave,"Columbus, OH 43219    ",,4300 Venture 34910 LLC,,,$14.00 ,,,,,,,,,,4294-4336 E 5th Ave,"Columbus, OH 43219-1851",Ed Arndt,SB360 Capital Partners,6144458461,,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,88 E Broad St Suite # 1740,Scott Pickett,4,2021,0.43,464988.54,Multi,
522 Milliken Dr,,Industrial,Existing,Licking County,Licking County,Hebron,OH,43025-9657,Licking,1982,1,1988,60,0.6,522266,260070,260070,260070,260070,260070,0,4.75,50.2,,2021 Tax @ $0.22/sf,2021 Tax @ $0.22/sf,,Triple Net,Colliers,"Columbus, OH 43215",6144105647,6144369700,Benjamin Johnson,,,"Industrial Realty Group, LLC",Fenced Lot,9000a/480v 3p 4w,"25'0""",33,"6/12'0""w x 16'0""h",40'w x 50'd,ESFR,,Steel,CSX,Yes,,,,496461,4.75,,Newark Industrial Park,40,39.98245,-82.477498,11111 Santa Monica Blvd Suite # 800,"Los Angeles, CA 90025-3333",John Mase,3108064434,,,,,4020 Kinross Lakes Pky,"Richfield, OH 44286-9084",,"Hebron Businnes Park, Ltd",,,$4.75 ,,,,,,,,,,11111 Santa Monica Blvd Suite # 800,"Los Angeles, CA 90025-3333",John Mase,"Industrial Realty Group, LLC",3108064434,M-1,,B,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,100-year Floodplain,,,,,2 Miranova Pl Suite # 900,Benjamin Johnson,3,2021,0.22,114702.58,Multi,
851 W 3rd Ave,,Industrial,Demolished,Northwest,Grandview,Columbus,OH,43212-3106,Franklin,1990,1,,500,0.93,536292,,,,,0,,-,,40000,2021 Tax @ $0.04/sf,2021 Tax @ $0.04/sf,,,Newmark,"Columbus, OH 43215-3610",6148831066,6142219162,Tom Sugar,,,Marble Cliff 2150 Llc,Signage,480a/277v,"41'8""",,None,,Wet,,Masonry,,Gas,City,City,Natural,495140,,,,27.459986,39.9820104,-83.027995,39 E Whittier St,"Columbus, OH 43206    ",,6142342222,,,,,1000 Edgehill Rd,"Columbus, OH 43212-3646",,Olentangy Commerce Center Ltd Partnership,6144210100,,Not Disclosed,,,,,,,,,,39 E Whittier St,"Columbus, OH 43206    ",,Marble Cliff 2150 Llc,6142342222,M+M-1,,F,"Area of minimal flood hazard, usually depicted on FIRMs as above the 500-year flood level.",Moderate to Low Risk Areas,500-year Floodplain,,,7/27/06 0:00,11100000,150 E Broad St Suite # 500,Tom Sugar,1,2021,0.04,21736.46,Multi,
1115 W 5th Ave,,Industrial,Existing,Fairfield County,Fairfield County,Lancaster,OH,43130-2938,Fairfield,1965,1,,300,,908000,,,,,0,,-,100,,2021 Tax @ $0.11/sf,2021 Tax @ $0.11/sf,,,,,,,,,,Anchor Hocking,Signage,,"21'0""",6,"4/12'0""w x 14'0""h",,,,Metal,,,,,,494449,,,,31.8,39.720485,-82.621741,1600 Dublin Rd,"Columbus, OH 43215",Richard Bartlett,7406816478,,,,,1600 Dublin Rd,"Columbus, OH 43215",,Anchor Hocking,7406816478,,$4.03 - 4.92 (Est.),,,,,,,,,,1600 Dublin Rd,"Columbus, OH 43215",Richard Bartlett,Anchor Hocking,7406816478,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,2,2021,0.11,95799.8,Single,
6499 Adelaide Ct,PetSmart,Industrial,Existing,Southeast,Southeast,Groveport,OH,43125-9635,Franklin,2000,1,,412,0.66,616376,,,,,0,,-,100,,2021 Tax @ $1.18/sf,2021 Tax @ $1.18/sf,,,EQT Exeter,"Columbus, OH 43215-5777",6108283200,,Steven Stein,,Pizzuti Companies,EQT Exeter,Fenced Lot,,"30'0""",,"2/9'0""w x 14'0""h",,ESFR,,Reinforced Concrete,,,,,,517102,,,Rickenbacker Air Ind Park,38.31,39.8335532,-82.9384661,100 Matsonford Rd Suite # 250,"Radnor, PA 19087-4559",,6108283200,,,,,101 W Elm St,"Conshohocken, PA 19428-2075",,Caribou 1345 Ridgeland Parkway LLC,,,$4.39 - 5.37 (Est.),,,,,,,,,,100 Matsonford Rd Suite # 250,"Radnor, PA 19087-4559",,EQT Exeter,6108283200,"M, Columbus",,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,12/17/15 0:00,28700000,605 S Front St,Steven Stein,4,2021,1.18,727764.06,Single,
4077 Airbase Rd,,Industrial,Existing,Pickaway County,Pickaway County,Groveport,OH,43125,Pickaway,2021,1,,358,0.48,742140,,,,,0,,-,100,,,,,,JLL,"Columbus, OH 43215-2232",6144604421,6142211461,Brian Marsh,,,Kohlberg Kravis Roberts & Co. L.P.,,,"36'0""",75,4,56'w x 50'd,ESFR,,,,,,,,11237576,,,Rickenbacker Logistics Park,40.5,39.7845491,-82.936688,30 Hudson Yards,"New York, NY 10001",,2127508300,,,,,,,,Rickenbacker Owner LLC,,,$3.52 - 4.31 (Est.),,,,,,,,,,30 Hudson Yards,"New York, NY 10001",,Kohlberg Kravis Roberts & Co. L.P.,2127508300,Industrial,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,10/21/21 0:00,84368449,375 N Front St,Brian Marsh,4,,,,,
4611 Airbase Rd,Building 8,Industrial,Proposed,Pickaway County,Pickaway County,Groveport,OH,43125,Pickaway,2024,1,,405,0.56,713640,713640,713640,713640,0,0,0,-,0,,,,,,JLL,"Columbus, OH 43215-2232",6144604421,6142211461,Brian Marsh,,,,,,"36'0""",71,4,56'w x 50'd,ESFR,,,,,,,,11238275,,,Rickenbacker Logistics Park,35.1,39.7831658,-82.922354,,,,,,,,,,,,,,,Not Disclosed,,,,,,,,,,,,,,,Industrial,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,375 N Front St,Brian Marsh,4,,,,,
4611 Airbase Rd,Building 4,Industrial,Proposed,Pickaway County,Pickaway County,Groveport,OH,43125,Pickaway,2023,1,,566,0.64,918270,918270,918270,918270,0,0,0,-,0,,,,,,JLL,"Columbus, OH 43215-2232",6144604421,6142211461,Brian Marsh,,,,,,"36'0""",91,4,56'w x 50'd,ESFR,,,,,,,,11238256,,,Rickenbacker Logistics Park,48.1,39.7843396,-82.9237775,,,,,,,,,,,,,,,Not Disclosed,,,,,,,,,,,,,,,Industrial,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,375 N Front St,Brian Marsh,4,,,,,
6600 Alum Creek Dr,Eddie Bauer PacSun Distribution Center,Industrial,Existing,Southeast,Southeast,Groveport,OH,43125-9420,Franklin,1993,1,,2800,1.17,2400000,,,,,0,,-,100,,2021 Tax @ $0.42/sf,2021 Tax @ $0.42/sf,,,,,,,,,,The Related Companies,Fenced Lot,,"28'0""",60,"2/9'0""w x 12'0""h",,,,Reinforced Concrete,,,,,,639561,,,,127.1854,39.833035,-82.928664,30 Hudson Yards,"New York, NY 10001",,2128011000,,,,,,,,Alum Creek Drive Owner LLC,,,$4.92 - 5.38 (Est.),,,,,,,,,,30 Hudson Yards,"New York, NY 10001",,The Related Companies,2128011000,PIP Groveport,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,3/22/22 0:00,90500000,,,4,2021,0.42,1011144.7,Single,
1367 Beech Rd,Facebook Data Center Building 1,Industrial,Existing,Licking County,Licking County,Pataskala,OH,43062,Licking,2020,1,,224,0.27,823987,,,,,0,,-,100,,2021 Tax @ $1.69/sf,2021 Tax @ $1.69/sf,,,City Of New Albany,"New Albany, OH 43054    ",6149392254,,Jackie Russell,,Turner Construction Company,City Of New Albany,,,,,,,,,Reinforced Concrete,,,,,,10387957,,,,345,40.0683848,-82.750368,99 W Main St,"New Albany, OH 43054    ",Jackie Russell,6148553913,,,,,99 W Main St,"New Albany, OH 43054    ",,City Of New Albany,6148553913,,$5.33 - 6.52 (Est.),,,,,,,,,,99 W Main St,"New Albany, OH 43054    ",Jackie Russell,City Of New Albany,6148553913,,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,99 W Main St,Jackie Russell,4,2021,1.69,1392256,,
1369 Beech Rd,Facebook Data Center Building 3,Industrial,Existing,Licking County,Licking County,Pataskala,OH,43062,Licking,2022,1,,,,745061,,,,,0,,-,100,,2021 Tax @ $1.87/sf,2021 Tax @ $1.87/sf,,,,,,,,,Turner Construction Company,City Of New Albany,,,,,,,,,Reinforced Concrete,,,,,,11270495,,,,,40.0596652,-82.7514149,99 W Main St,"New Albany, OH 43054    ",Jackie Russell,6148553913,,,,,,,,,,,$5.33 - 6.51 (Est.),,,,,,,,,,99 W Main St,"New Albany, OH 43054    ",Jackie Russell,City Of New Albany,6148553913,,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,4,2021,1.87,1392256,,
1245 Beech Rd SW,Amazon Distribution,Industrial,Existing,Licking County,Licking County,New Albany,OH,43054,Licking,2022,1,,,,1234580,,,,,0,,-,100,,2021 Tax @ $0.32/sf,2021 Tax @ $0.32/sf,,,,,,,,,,"Preylock Holdings, LLC",,,,,2,,,,Steel,,,,,,12398126,,,,56.512,40.0673815,-82.7586913,1901 Avenue Of The Stars Suite # 670,"Los Angeles, CA 90067-6001",,4244070400,,,,,,,,Preylock New Albany LLC,,,$5.56 - 6.80 (Est.),,,,,,,,,,1901 Avenue Of The Stars Suite # 670,"Los Angeles, CA 90067-6001",,"Preylock Holdings, LLC",4244070400,"GE, New Albany",,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,7/25/22 0:00,156495222,,,4,2021,0.32,394466.66,Single,
1901 Beggrow St,Rickenbacker West I,Industrial,Existing,Southeast,Southeast,Lockbourne,OH,43137,Franklin,2018,1,,618,0.27,802390,,,,,0,,-,100,,2021 Tax @ $0.17/sf,2021 Tax @ $0.17/sf,,,,,,,,,Pizzuti,Granite REIT Holdings Limited Partnership,,3p,"36'0""",48,4,50'w x 48'd,ESFR,,,,,,,,10382481,,,,51.08,39.8358481,-82.9495004,77 King St W,"Toronto, ON M5K 2A1",,6479257500,,,,,77 King St W Suite # 4010,"Toronto, ON M5K 1H1",,Granite (1901 Beggrow) LLC,,,$3.94 - 4.82 (Est.),,,,,,,,,,77 King St W,"Toronto, ON M5K 2A1",,Granite REIT Holdings Limited Partnership,6479257500,LM Columbus,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,5/22/19 0:00,53200000,,,5,2021,0.17,138513.42,Single,
0 Bixby,,Industrial,Proposed,Southeast,I-70 East Corridor,Canal Winchester,OH,43110,Franklin,,1,,,0.75,527490,527490,527490,527490,0,0,0,-,0,,,,,,,,,,,,,,,4000a/480v 3p,"40'0""",66,4,56'w x 50'd,,,Reinforced Concrete,,,,,,13583910,,,,12.11,39.8685509,-82.84,,,,,,,,,,,,,,,Not Disclosed,,,,,,,,,,,,,,,,,A,"Area of minimal flood hazard, usually depicted on FIRMs as above the 500-year flood level.",Moderate to Low Risk Areas,500-year Floodplain,,,,,,,3,,,,,
0 Bosses Way,Building 3,Industrial,Proposed,Pickaway County,Pickaway County,Commercial Point,OH,43137,Pickaway,2024,1,,910,0.6,1510500,1510500,1510500,1510500,0,0,0,-,0,,,,,,Colliers,"Columbus, OH 43215",6144105628,6144369700,Michael Linder,,,,,,"40'0""",340,4,,ESFR,,,,,,,,12793116,,,Rickenbacker Exchange-North Campus,,39.7958593,-83.0210101,,,,,,,,,,,,,,,Not Disclosed,,,,,,,,,,,,,,,,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,2 Miranova Pl Suite # 900,Michael Linder,4,,,,,
0 Bosses Way,Building 2,Industrial,Proposed,Pickaway County,Pickaway County,Commercial Point,OH,43137,Pickaway,2024,1,,738,0.61,1198165,1198165,1198165,1198165,0,0,0,-,0,,,,,,Colliers,"Columbus, OH 43215",6144105628,6144369700,Michael Linder,,,,,,"40'0""",280,4,,,,,,,,,,12793074,,,Rickenbacker Exchange-North Campus,,39.7961281,-83.0200403,,,,,,,,,,,,,,,Not Disclosed,,,,,,,,,,,,,,,,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,2 Miranova Pl Suite # 900,Michael Linder,4,,,,,
714 Bosses Way,Building 1,Industrial,Under Construction,Pickaway County,Pickaway County,Commercial Point,OH,43137,Pickaway,2023,1,,468,0.39,1198616,1198616,600000,1198616,1198616,0,0,-,0,,,,,,Colliers,"Columbus, OH 43215",6144105628,6144369700,Michael Linder,,,,,,"40'0""",180,4,,ESFR,,,,,,,,12790778,,,Rickenbacker Exchange-North Campus,,39.7930832,-83.0170576,,,,,,,,,,,,,,,$5.80 - 7.09 (Est.),,,,,,,,,,,,,,,LM/SO,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,2 Miranova Pl Suite # 900,Michael Linder,4,,,,,
