current_occupant,business_name,tradestyle_name,duns,subject_address_full,website,phone,naics_code,naics_description,sic_code,sic_description,employees_at_location,year_started,type_of_location,company_address_line_1,company_address_city,company_address_state,company_address_postal_code,subject_address_line_1,subject_address_city,subject_address_state,subject_address_postal_code,reonomy_property_id,apn,longitude,latitude
1st Choice Renew LLC,1st Choice Renew LLC,,120486172,"1509 BLATT BLVD, GAHANNA, OH 43230",,,999990,Unclassified Establishments,99992222,"Duns Support Record, nonclassifiable establishment",7,2022,Single Location,1509 Blatt Blvd,Columbus,OH,43230,1509 Blatt Blvd,Gahanna,OH,43230,935cf0b3-c047-569c-a60a-2e50021e1fdc,025-011769,-82.827702,39.994024
"Unique Home Solutions, Inc.","Unique Home Solutions, Inc.",Unique Home Solutions,043069270,"1509 BLATT BLVD, GAHANNA, OH 43230",www.uniquehomesolutions.org,6146047679,444180,Other Building Material Dealers,52110200,Door and window products,37,,Branch,1509 Blatt Blvd,Columbus,OH,43230,1509 Blatt Blvd,Gahanna,OH,43230,935cf0b3-c047-569c-a60a-2e50021e1fdc,025-011769,-82.827702,39.994024
Islamic Funeral Homes and Burial Service,Islamic Funeral Homes and Burial Service,,089791392,"1509 BLATT BLVD, GAHANNA, OH 43230",,,812210,Funeral Homes and Funeral Services,72619903,Funeral home,3,2020,Single Location,1509 Blatt Blvd,Columbus,OH,43230,1509 Blatt Blvd,Gahanna,OH,43230,935cf0b3-c047-569c-a60a-2e50021e1fdc,025-011769,-82.827702,39.994024
New Horizon Media Group LLC,New Horizon Media Group LLC,,081007646,"1509 BLATT BLVD, GAHANNA, OH 43230",www.newhorizonmediagroup.com,6146190287,513210,Software Publishers,73720000,Prepackaged software,5,2015,Single Location,1509 Blatt Blvd,Columbus,OH,43230,1509 Blatt Blvd,Gahanna,OH,43230,935cf0b3-c047-569c-a60a-2e50021e1fdc,025-011769,-82.863773,40.039097
Drcc Cleaning Service LLC,Drcc Cleaning Service LLC,,117909076,"1509 BLATT BLVD, GAHANNA, OH 43230",,6144462269,561720,Janitorial Services,73490100,Building and office cleaning services,7,2021,Single Location,1509 Blatt Blvd,Gahanna,OH,43230,1509 Blatt Blvd,Gahanna,OH,43230,935cf0b3-c047-569c-a60a-2e50021e1fdc,025-011769,-82.827702,39.994024
Blueface Productions LLC,Blueface Productions LLC,,092548289,"1509 BLATT BLVD, GAHANNA, OH 43230",,,512120,Motion Picture and Video Distribution,78220000,Motion picture and tape distribution,2,2021,Single Location,1509 Blatt Blvd,Columbus,OH,43230,1509 Blatt Blvd,Gahanna,OH,43230,935cf0b3-c047-569c-a60a-2e50021e1fdc,025-011769,-82.827702,39.994024
"New Millennium Realty, LLC","New Millennium Realty, LLC",,051533606,"1509 BLATT BLVD, GAHANNA, OH 43230",www.newmillenniumrealty.com,,531210,Offices of Real Estate Agents and Brokers,65310105,"Real estate agent, residential",2,2013,Single Location,1509 Blatt Blvd,Columbus,OH,43230,1509 Blatt Blvd,Gahanna,OH,43230,935cf0b3-c047-569c-a60a-2e50021e1fdc,025-011769,-82.618939,39.739165
Bom Bombs LLC,Bom Bombs LLC,,113680365,"1509 BLATT BLVD, GAHANNA, OH 43230",www.bomskinandco.com,6143520924,456120,"Cosmetics, Beauty Supplies, and Perfume Retailers",59991301,Cosmetics,4,2017,Single Location,1509 Blatt Blvd,Columbus,OH,43230,1509 Blatt Blvd,Gahanna,OH,43230,935cf0b3-c047-569c-a60a-2e50021e1fdc,025-011769,-82.827702,39.994024
Love Your Neighbor,Love Your Neighbor,,030940959,"1509 BLATT BLVD, GAHANNA, OH 43230",www.lynoutreach.org,6143980596,813410,Civic and Social Organizations,86999904,Charitable organization,7,2011,Single Location,1509 Blatt Blvd,Columbus,OH,43230,1509 Blatt Blvd,Gahanna,OH,43230,935cf0b3-c047-569c-a60a-2e50021e1fdc,025-011769,-82.897948,39.924858
Dfwh Inc.,Dfwh Inc.,Discount Fashion Warehouse,043211297,"8025 CORPORATE BLVD, PLAIN CITY, OH 43064",www.dfwh.com,6147333838,458110,Clothing and Clothing Accessories Retailers,56119901,Clothing accessories: men's and boys',15,2012,Single Location,8025 Corporate Blvd,Plain City,OH,43064,8025 Corporate Blvd,Plain City,OH,43064,67bba9e8-b744-599d-9aa1-130e0f2e8729,15-0028001-5000,-83.196097,40.129811
"Complete Fulfillment Services, LLC","Complete Fulfillment Services, LLC",,088603558,"8025 CORPORATE BLVD, PLAIN CITY, OH 43064",www.completefulfillment.com,,999990,Unclassified Establishments,99992222,"Duns Support Record, nonclassifiable establishment",7,2015,Single Location,8025 Corporate Blvd,Plain City,OH,43064,8025 Corporate Blvd,Plain City,OH,43064,67bba9e8-b744-599d-9aa1-130e0f2e8729,15-0028001-5000,-83.196097,40.129811
"K. Amalia Enterprises, Inc.","K. Amalia Enterprises, Inc.",Mjr Sales,556171478,"8025 CORPORATE BLVD, PLAIN CITY, OH 43064",www.dfwh.com,6147333800,458110,Clothing and Clothing Accessories Retailers,56999903,"Designers, apparel",81,1992,Single Location,8025 Corporate Blvd,Plain City,OH,43064,8025 Corporate Blvd,Plain City,OH,43064,67bba9e8-b744-599d-9aa1-130e0f2e8729,15-0028001-5000,-83.196097,40.129811
Mj Trade Inc.,Mj Trade Inc.,,056692462,"8025 CORPORATE BLVD, PLAIN CITY, OH 43064",,6147333800,541890,Other Services Related to Advertising,51999901,Advertising specialties,2,2012,Single Location,8025 Corporate Blvd,Plain City,OH,43064,8025 Corporate Blvd,Plain City,OH,43064,67bba9e8-b744-599d-9aa1-130e0f2e8729,15-0028001-5000,-83.196097,40.129811
"Acorn Distributors, Inc.","Acorn Distributors, Inc.",,003449251,"5310 CROSSWIND DR, COLUMBUS, OH 43228",www.acorndistributors.com,6142946444,424130,Industrial and Personal Service Paper Merchant Wholesalers,51130200,"Disposable plates, cups, napkins, and eating utensils",40,2010,Single Location,5310 Crosswind Dr,Columbus,OH,43228,5310 Crosswind Dr,Columbus,OH,43228,9eab253f-af73-55e1-a419-8388c0055cd3,570-210752,-83.135337,39.922499
Crosswind Drive Realty LLC,Crosswind Drive Realty LLC,,073734628,"5310 CROSSWIND DR, COLUMBUS, OH 43228",,,531210,Offices of Real Estate Agents and Brokers,65310100,Real estate brokers and agents,2,2017,Single Location,5310 Crosswind Dr,Columbus,OH,43228,5310 Crosswind Dr,Columbus,OH,43228,9eab253f-af73-55e1-a419-8388c0055cd3,570-210752,-83.135337,39.922499
"Distinctive Surfaces, Inc.","Distinctive Surfaces, Inc.",,089419873,"4489 BRIDGEWAY AVE, COLUMBUS, OH 43219",www.distinctivekitchen.com,6144310898,238350,Finish Carpentry Contractors,17990603,Counter top installation,20,1977,Single Location,4600 Bridgeway Ave,Columbus,OH,43219,4489 Bridgeway Ave,Columbus,OH,43219,5c2b1ce3-3e46-4186-ab1c-e33e46a18676,520-297253,-82.886942,40.00676
"Distinctive Surfaces, LLC","Distinctive Surfaces, LLC",,079174969,"4489 BRIDGEWAY AVE, COLUMBUS, OH 43219",www.distinctivekitchen.com,6144310898,337110,Wood Kitchen Cabinet and Countertop Manufacturing,24340000,Wood kitchen cabinets,18,2013,Single Location,4600 Bridgeway Ave,Columbus,OH,43219,4489 Bridgeway Ave,Columbus,OH,43219,5c2b1ce3-3e46-4186-ab1c-e33e46a18676,520-297253,-82.886942,40.00676
"Improveit Home Remodeling, Inc.","Improveit Home Remodeling, Inc.",Improveit HM Rmdlg An Ohio Enr,603568676,"4489 BRIDGEWAY AVE, COLUMBUS, OH 43219",www.improveitusa.com,6142975121,236118,Residential Remodelers,15210101,"General remodeling, single-family houses",36,1989,HQ,4580 Bridgeway Ave Ste B,Columbus,OH,43219,4489 Bridgeway Ave,Columbus,OH,43219,5c2b1ce3-3e46-4186-ab1c-e33e46a18676,520-297253,-82.888002,40.007139
"Daikin Comfort Technologies Manufacturing, L.P.","Daikin Comfort Technologies Manufacturing, L.P.",,086714563,"4489 BRIDGEWAY AVE, COLUMBUS, OH 43219",www.goodmanmfg.com,7132635481,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,50750100,Air conditioning and ventilation equipment and supplies,4,,Branch,4580 Bridgeway Ave,Columbus,OH,43219,4489 Bridgeway Ave,Columbus,OH,43219,5c2b1ce3-3e46-4186-ab1c-e33e46a18676,520-297253,-82.887739,40.007143
Supreme Closing Services LLC,Supreme Closing Services LLC,Improveit Closing Services,166146501,"4489 BRIDGEWAY AVE, COLUMBUS, OH 43219",www.improveitusa.com,,522310,Mortgage and Nonmortgage Loan Brokers,61639904,"Mortgage brokers arranging for loans, using money of others",3,2003,Single Location,4580 Bridgeway Ave Ste B,Columbus,OH,43219,4489 Bridgeway Ave,Columbus,OH,43219,5c2b1ce3-3e46-4186-ab1c-e33e46a18676,520-297253,-82.888002,40.007139
Ohio Energy,Ohio Energy,,085627860,"4489 BRIDGEWAY AVE, COLUMBUS, OH 43219",,6142915400,238990,All Other Specialty Trade Contractors,17990000,"Special trade contractors, nec",1,2018,Single Location,4580 Bridgeway Ave Ste B,Columbus,OH,43219,4489 Bridgeway Ave,Columbus,OH,43219,5c2b1ce3-3e46-4186-ab1c-e33e46a18676,520-297253,-82.888002,40.007139
Distinctive Kitchen and B,Distinctive Kitchen and B,,085365931,"4489 BRIDGEWAY AVE, COLUMBUS, OH 43219",www.distinctivekitchen.com,6144396264,722511,Full-Service Restaurants,58120000,Eating places,10,2018,Single Location,4600 Bridgeway Ave,Columbus,OH,43219,4489 Bridgeway Ave,Columbus,OH,43219,5c2b1ce3-3e46-4186-ab1c-e33e46a18676,520-297253,-82.886942,40.00676
Sky Climber Fasteners LLC,Sky Climber Fasteners LLC,,080014810,"1600 PITTSBURGH DR, DELAWARE, OH 43015",skyclimberfasteners.tempurl.host,7408169830,332510,Hardware Manufacturing,34299908,Metal fasteners,3,2015,Single Location,1600 Pittsburgh Dr,Delaware,OH,43015,1600 Pittsburgh Dr,Delaware,OH,43015,096ce9e8-3026-5b07-b8b6-701291bb176e,419-220-01-006-004,-83.118904,40.286769
IMI Marketing & Sales LLC,IMI Marketing & Sales LLC,IMI International,084795280,"1600 PITTSBURGH DR, DELAWARE, OH 43015",,6148392500,238990,All Other Specialty Trade Contractors,17990402,Scaffolding,5,2001,Single Location,1600 Pittsburgh Dr,Delaware,OH,43015,1600 Pittsburgh Dr,Delaware,OH,43015,096ce9e8-3026-5b07-b8b6-701291bb176e,419-220-01-006-004,-83.118904,40.286769
Sky Climber Fabricating LLC,Sky Climber Fabricating LLC,,081227271,"1600 PITTSBURGH DR, DELAWARE, OH 43015",www.skyclimber.com,7409909430,332312,Fabricated Structural Metal Manufacturing,34490101,"Bars, concrete reinforcing: fabricated steel",1,2016,Single Location,1600 Pittsburgh Dr,Delaware,OH,43015,1600 Pittsburgh Dr,Delaware,OH,43015,096ce9e8-3026-5b07-b8b6-701291bb176e,419-220-01-006-004,-83.118904,40.286769
Sky Climber Access Solutions Atlanta LLC,Sky Climber Access Solutions Atlanta LLC,Sky Access,020655671,"1600 PITTSBURGH DR, DELAWARE, OH 43015",,7402033900,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,73590000,"Equipment rental and leasing, nec",20,2005,HQ,1600 Pittsburgh Dr,Delaware,OH,43015,1600 Pittsburgh Dr,Delaware,OH,43015,096ce9e8-3026-5b07-b8b6-701291bb176e,419-220-01-006-004,-83.118904,40.286769
"Abrasive Illinois, LLC","Abrasive Illinois, LLC",,034683707,"8400 GREEN MEADOWS DR N, LEWIS CENTER, OH 43035",,,327910,Abrasive Product Manufacturing,32910000,Abrasive products,2,2019,Single Location,8400 Green Meadows Dr N,Lewis Center,OH,43035,8400 Green Meadows Dr N,Lewis Center,OH,43035,2027c688-f358-5386-bc85-0ffdda63fdf1,318-313-03-002-000,-83.015439,40.160816
Abrasive Technology Lapidary Inc,Abrasive Technology Lapidary Inc,Crystalite,050116870,"8400 GREEN MEADOWS DR N, LEWIS CENTER, OH 43035",,7405484855,327910,Abrasive Product Manufacturing,32910000,Abrasive products,162,1986,Single Location,8400 Green Meadows Dr N,Lewis Center,OH,43035,8400 Green Meadows Dr N,Lewis Center,OH,43035,2027c688-f358-5386-bc85-0ffdda63fdf1,318-313-03-002-000,-83.015439,40.160816
"Abrasive Technology, LLC","Abrasive Technology, LLC",,054028295,"8400 GREEN MEADOWS DR N, LEWIS CENTER, OH 43035",www.abrasive-tech.com,7405484100,327910,Abrasive Product Manufacturing,32910200,"Abrasive stones, except grinding stones: ground or whole",200,1971,HQ,8400 Green Meadows Dr N,Lewis Center,OH,43035,8400 Green Meadows Dr N,Lewis Center,OH,43035,2027c688-f358-5386-bc85-0ffdda63fdf1,318-313-03-002-000,-83.015439,40.160816
"Blastmaster Holdings Usa, LLC","Blastmaster Holdings Usa, LLC",Blastone International,012405299,"BRIDGEWAY AVE, COLUMBUS, OH 43219",www.blastone.com,8777252781,423830,Industrial Machinery and Equipment Merchant Wholesalers,50840000,Industrial machinery and equipment,100,2008,Single Location,4510 Bridgeway Ave,Columbus,OH,43219,Bridgeway Ave,Columbus,OH,43219,bfaa2124-620f-511f-9694-fd249e6db1a3,520-295609,-82.889919,40.006895
Daimler Equities LLC,Daimler Equities LLC,,072188131,"BRIDGEWAY AVE, COLUMBUS, OH 43219",,6146295241,999990,Unclassified Establishments,99992222,"Duns Support Record, nonclassifiable establishment",7,2018,Single Location,4510 Bridgeway Ave Ste A,Columbus,OH,43219,Bridgeway Ave,Columbus,OH,43219,bfaa2124-620f-511f-9694-fd249e6db1a3,520-295609,-82.889919,40.006895
Blastone Health LLC,Blastone Health LLC,,091352297,"BRIDGEWAY AVE, COLUMBUS, OH 43219",www.blastone.com,,621999,All Other Miscellaneous Ambulatory Health Care Services,80990000,"Health and allied services, nec",2,2020,Single Location,4510 Bridgeway Ave,Columbus,OH,43219,Bridgeway Ave,Columbus,OH,43219,bfaa2124-620f-511f-9694-fd249e6db1a3,520-295609,-82.889919,40.006895
Pbcc Corporate Services,Pbcc Corporate Services,,089182055,"BRIDGEWAY AVE, COLUMBUS, OH 43219",,,999990,Unclassified Establishments,99992222,"Duns Support Record, nonclassifiable establishment",7,2019,Single Location,4510 Bridgeway Ave,Columbus,OH,43219,Bridgeway Ave,Columbus,OH,43219,bfaa2124-620f-511f-9694-fd249e6db1a3,520-295609,-82.889919,40.006895
Ravines of The Olentangy By Fischer Homes,Ravines of The Olentangy By Fischer Homes,,003660781,"100 INNOVATION CT, DELAWARE, OH 43015",www.fischerhomes.com,,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),65120100,Commercial and industrial building operation,2,2020,Single Location,405 Randall Rd,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.052102,40.289436
Nagase Chemtex America LLC,Nagase Chemtex America LLC,,101616480,"100 INNOVATION CT, DELAWARE, OH 43015",www.emsadhesives.com,7403624444,325520,Adhesive Manufacturing,28910200,Adhesives,49,1992,Single Location,100 Innovation Ct,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.110772,40.274633
"Little Sassy, LLC","Little Sassy, LLC",,089885093,"100 INNOVATION CT, DELAWARE, OH 43015",,,999990,Unclassified Establishments,99992222,"Duns Support Record, nonclassifiable establishment",7,2021,Single Location,544 Randall Rd,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.047308,40.287719
"Ann's Tea Emporium, LLC","Ann's Tea Emporium, LLC",,066929216,"100 INNOVATION CT, DELAWARE, OH 43015",,9122271404,459999,All Other Miscellaneous Retailers,59990000,"Miscellaneous retail stores, nec",2,2016,Single Location,374 Stone Quarry Dr,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.025158,40.238569
"Cnz Property Management, LLC","Cnz Property Management, LLC",,089820735,"100 INNOVATION CT, DELAWARE, OH 43015",www.cnzpropertymanagement.com,6144124570,561110,Office Administrative Services,87410000,Management services,2,2021,Single Location,544 Randall Rd,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.047308,40.287719
Charley's Buckeye Sauce LLC,Charley's Buckeye Sauce LLC,,085428669,"100 INNOVATION CT, DELAWARE, OH 43015",,,999990,Unclassified Establishments,99992222,"Duns Support Record, nonclassifiable establishment",7,2015,Single Location,454 Randall Rd,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.05079,40.288498
"Locksmith Powell Ohio, LLC","Locksmith Powell Ohio, LLC",,030076458,"100 INNOVATION CT, DELAWARE, OH 43015",www.delawarelocksmith.net,,561622,Locksmiths,76991103,Locksmith shop,1,2020,Single Location,56 Solstice Rd,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.019328,40.240047
"Osprey Benefit Advisors, LLC","Osprey Benefit Advisors, LLC",,076735303,"100 INNOVATION CT, DELAWARE, OH 43015",,,999990,Unclassified Establishments,99992222,"Duns Support Record, nonclassifiable establishment",7,2021,Single Location,435 Randall Rd,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.051152,40.289169
Lawn Daddy LLC,Lawn Daddy LLC,,092671121,"100 INNOVATION CT, DELAWARE, OH 43015",,,561730,Landscaping Services,07820200,Lawn services,1,2020,Single Location,350 Stone Quarry Dr,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.024902,40.239157
Quality Goods LLC,Quality Goods LLC,,074942261,"100 INNOVATION CT, DELAWARE, OH 43015",,,999990,Unclassified Establishments,99992222,"Duns Support Record, nonclassifiable establishment",7,2021,Single Location,356 Stone Quarry Dr,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.025075,40.239042
La Perla Consulting LLC,La Perla Consulting LLC,,093125728,"100 INNOVATION CT, DELAWARE, OH 43015",,,541618,Other Management Consulting Services,87480000,"Business consulting, nec",1,2022,Single Location,423 Randall Rd,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.05159,40.289284
"Global Trade Alliance, LLC","Global Trade Alliance, LLC",,076119373,"100 INNOVATION CT, DELAWARE, OH 43015",,,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,51990000,"Nondurable goods, nec",1,2021,Single Location,544 Randall Rd,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.047314,40.287721
"Just Our Design, LLC","Just Our Design, LLC",,090893610,"100 INNOVATION CT, DELAWARE, OH 43015",,,541490,Other Specialized Design Services,73891800,Design services,1,2019,Single Location,398 Stone Quarry Dr,Delaware,OH,43015,100 Innovation Ct,Delaware,OH,43015,cc6dae2b-8748-5462-b581-eddc9fc256d7,419-220-02-003-002,-83.025196,40.238013
Cardinal Self Storage - Powell,Cardinal Self Storage - Powell,,092749218,"7860 SMOKY ROW RD, COLUMBUS, OH 43235",www.cardinalselfstorage.net,6147172600,531130,Lessors of Miniwarehouses and Self-Storage Units,42259903,"Warehousing, self storage",2,2015,Single Location,7860 Smoky Row Rd,Powell,OH,43065,7860 Smoky Row Rd,Columbus,OH,43235,20bc54fc-fe8b-5ae0-ae7a-22ea47eb4f7a,610-204659,-83.065818,40.118793
Cherrydale Farms,Cherrydale Farms,,045824316,"646 MCCORKLE BLVD, WESTERVILLE, OH 43082",www.cherrydale.com,6148918822,311821,Cookie and Cracker Manufacturing,20520000,Cookies and crackers,2,2016,Single Location,646 Mccorkle Blvd,Westerville,OH,43082,646 Mccorkle Blvd,Westerville,OH,43082,a57847b9-b8d7-5212-95a3-72c2b13d024e,317-342-04-003-000,-82.918412,40.14239
Cheryl & Co.,Cheryl & Co.,,001240522,"646 MCCORKLE BLVD, WESTERVILLE, OH 43082",www.cheryls.com,6147761500,445291,Baked Goods Retailers,54610000,Retail bakeries,225,2005,HQ,646 Mccorkle Blvd,Westerville,OH,43082,646 Mccorkle Blvd,Westerville,OH,43082,a57847b9-b8d7-5212-95a3-72c2b13d024e,317-342-04-003-000,-82.918412,40.14239
"Reflexis Systems, Inc.","Reflexis Systems, Inc.",,037666052,"579 EXECUTIVE CAMPUS DR, WESTERVILLE, OH 43082",www.reflexisinc.com,6149481931,541511,Custom Computer Programming Services,73710301,Computer software development,2,,Branch,579 Executive Campus Dr,Westerville,OH,43082,579 Executive Campus Dr,Westerville,OH,43082,7ef06549-6fb5-534c-b25f-0ec839644da8,318-444-01-001-003,-82.949798,40.141159
ABB Inc.,ABB Inc.,ABB Industrial Systems,170017847,"579 EXECUTIVE CAMPUS DR, WESTERVILLE, OH 43082",new.abb.com,6148186300,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",50630103,"Power transmission equipment, electric",144,,Branch,579 Executive Campus Dr,Westerville,OH,43082,579 Executive Campus Dr,Westerville,OH,43082,7ef06549-6fb5-534c-b25f-0ec839644da8,318-444-01-001-003,-82.949798,40.141159
"Devcare Solutions, Ltd.","Devcare Solutions, Ltd.",,608911348,"579 EXECUTIVE CAMPUS DR, WESTERVILLE, OH 43082",www.devcare.com,6142212277,541690,Other Scientific and Technical Consulting Services,87480402,"Systems engineering consultant, ex. computer or professional",47,2005,Single Location,579 Executive Campus Dr,Westerville,OH,43082,579 Executive Campus Dr,Westerville,OH,43082,7ef06549-6fb5-534c-b25f-0ec839644da8,318-444-01-001-003,-82.949798,40.141159
ABB Inc.,ABB Inc.,A B B Electric Systems,021158787,"579 EXECUTIVE CAMPUS DR, WESTERVILLE, OH 43082",new.abb.com,6148186300,335311,"Power, Distribution, and Specialty Transformer Manufacturing",36120000,"Transformers, except electric",10,,Branch,579 Executive Campus Dr,Westerville,OH,43082,579 Executive Campus Dr,Westerville,OH,43082,7ef06549-6fb5-534c-b25f-0ec839644da8,318-444-01-001-003,-82.949798,40.141159
ABB Inc.,ABB Inc.,A B B Process Automation,154537349,"579 EXECUTIVE CAMPUS DR, WESTERVILLE, OH 43082",new.abb.com,6148186407,999990,Unclassified Establishments,99990001,"Lock box, for remittance only",8,,Branch,579 Executive Campus Dr,Westerville,OH,43082,579 Executive Campus Dr,Westerville,OH,43082,7ef06549-6fb5-534c-b25f-0ec839644da8,318-444-01-001-003,-82.949798,40.141159
